name_prov,name_coun,code_coun,code_city,name_city,code_prov,name,id,address,大类,中类,小类,X,Y,X_processed,Y_processed,sub_ID,_timestamp,name_short
浙江省,拱墅区,330105,330100,杭州市,330000,独城生态公园(地铁站),BV11507161,(在建)4号线二期,交通设施服务,地铁站,地铁站,120.1528958,30.35947851,120.15,30.36,"(120.15, 30.36)",2021/7/6,独城生
浙江省,余杭区,330110,330100,杭州市,330000,杜甫村地铁站A口,BX10024516,2号线,交通设施服务,地铁站,出入口,120.0524098,30.3616443,120.05,30.36,"(120.05, 30.36)",2021/7/6,杜甫村
浙江省,拱墅区,330105,330100,杭州市,330000,渡驾桥(地铁站),BV11211363,(在建)10号线一期,交通设施服务,地铁站,地铁站,120.1097153,30.32729862,120.11,30.33,"(120.11, 30.33)",2021/7/6,渡驾桥
浙江省,余杭区,330110,330100,杭州市,330000,墩祥街地铁站B口,BX10024512,2号线,交通设施服务,地铁站,出入口,120.0819805,30.33407501,120.08,30.33,"(120.08, 30.33)",2021/7/6,墩祥街
浙江省,萧山区,330109,330100,杭州市,330000,飞虹路地铁站C口,BX10013710,2号线,交通设施服务,地铁站,出入口,120.2580726,30.23351837,120.26,30.23,"(120.26, 30.23)",2021/7/6,飞虹路
浙江省,萧山区,330109,330100,杭州市,330000,丰北(地铁站),BV10743526,(在建)6号线二期,交通设施服务,地铁站,地铁站,120.2429865,30.24958725,120.24,30.25,"(120.24, 30.25)",2021/7/6,丰北(
浙江省,西湖区,330106,330100,杭州市,330000,丰潭路地铁站B口,BX10024509,2号线,交通设施服务,地铁站,出入口,120.103784,30.28437142,120.1,30.28,"(120.1, 30.28)",2021/7/6,丰潭路
浙江省,西湖区,330106,330100,杭州市,330000,枫桦西路(地铁站),BV10743531,6号线,交通设施服务,地铁站,地铁站,120.0937004,30.15747806,120.09,30.16,"(120.09, 30.16)",2021/7/6,枫桦西
浙江省,钱塘区,330114,330100,杭州市,330000,冯娄村地铁站C口,BX10033006,8号线,交通设施服务,地铁站,出入口,120.5150624,30.29679851,120.52,30.3,"(120.52, 30.3)",2021/7/6,冯娄村
浙江省,拱墅区,330105,330100,杭州市,330000,凤起路地铁站C3口,BX10013593,1号线,交通设施服务,地铁站,出入口,120.1593187,30.26298422,120.16,30.26,"(120.16, 30.26)",2021/7/6,凤起路
浙江省,余杭区,330110,330100,杭州市,330000,凤新路地铁站B口,BX10028898,16号线,交通设施服务,地铁站,出入口,119.9636255,30.26237888,119.96,30.26,"(119.96, 30.26)",2021/7/6,凤新路
浙江省,上城区,330102,330100,杭州市,330000,复兴路地铁站C口,BX10024539,4号线,交通设施服务,地铁站,出入口,120.1596178,30.21280933,120.16,30.21,"(120.16, 30.21)",2021/7/6,复兴路
